Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L48020,L,296.6,307.5,1582,37.9,197
L48021,L,,307.5,1439,45.5,
M15702,M,296.6,307.5,1566,35.0,
L48023,L,296.6,307.5,,,204
L48024,L,296.5,307.5,1566,35.1,
L48025,L,296.3,307.3,1439,41.5,208
M15706,M,296.4,307.4,1416,50.0,210
L48027,L,296.4,France,,5.6,213
L48028,L,296.3,307.4,1465,47.1,215
H30263,H,296.4,307.4,1586,35.5,0
L48030,L,,307.3,1567,31.4,5
M15711,M,296.2,307.2,1389,48.6,7
M15712,M,296.3,307.3,1368,49.5,10
L48033,L,296.3,307.3,1444,49.0,13
M15714,M,296.3,307.3,1498,41.6,15
L48035,L,296.1,307.2,,30.8,18
L48036,L,296.1,307.1,1898,22.7,20
M15717,M,,307.1,1350,53.3,
M15718,M,296.2,France,1516,37.6,25
H30273,H,296.2,307.0,1542,40.6,28
H30274,H,296.1,France,1541,32.6,33
M15721,M,296.1,France,1951,23.3,38
H30276,H,296.1,306.8,1645,31.0,41
L48043,L,296.0,France,1416,44.2,46
M15724,M,296.0,306.7,2044,22.3,48
L48045,L,295.9,France,1414,,51
L48046,L,295.9,306.6,1678,26.7,53
H30281,H,295.9,306.5,1594,33.2,55
M15728,M,,France,1514,37.7,60
L48049,L,,306.5,1358,49.2,63
L48050,L,295.8,306.4,1325,56.2,65
L48051,L,295.8,306.4,1339,53.2,67
M15732,M,295.8,306.4,1335,51.7,69
L48053,L,295.9,306.4,1892,21.7,72
L48054,L,295.9,306.4,1575,28.5,
M15735,M,295.8,306.3,1444,,
L48056,L,,France,1915,22.4,79
M15737,M,295.6,306.2,1584,,81
M15738,M,295.7,306.3,1685,34.9,error
L48059,L,295.8,306.3,1337,,87
M15740,M,295.8,306.3,1235,,89
L48061,L,295.7,306.2,1464,46.2,
M15742,M,295.7,306.2,1739,25.9,94
L48063,L,,306.3,1490,34.3,97
L48064,L,295.8,306.4,1356,48.0,99
L48065,L,295.7,306.2,1397,52.0,101
L48066,L,295.7,306.2,1458,40.6,
H30301,H,295.7,306.2,2161,16.5,105
M15748,M,295.6,306.1,1651,28.1,
L48069,L,295.6,306.1,1389,42.927308487883934,113
L48070,L,,306.0,1370,52.4,
L48071,L,295.7,306.1,1408,47.9,117
L48072,L,295.7,306.1,1343,54.4,119
M15753,M,295.7,306.2,1423,42.5,121
L48074,L,295.6,306.2,1426,48.6,124
M15755,M,295.6,France,1435,51.6,126
L48076,L,295.5,306.1,1573,35.1,129
L48077,L,295.6,306.2,-306.2,31.2,
L48078,L,,306.2,1446,49.9,
H30313,H,295.6,306.2,1329,55.3,135
L48080,L,295.6,306.2,1569,35.1,140
H30315,H,295.6,306.1,1256,62.3,142
L48082,L,295.6,306.1,1383,48.7,147
L48083,L,295.7,306.2,2270,14.6,149
H30318,H,295.7,306.2,1458,49.8,151
L48085,L,295.6,306.1,1474,41.2,156
M15766,M,295.6,306.1,1462,49.2,158
M15767,M,295.6,306.1,1669,29.0,error
M15768,M,295.5,306.1,1822,24.3,164
L48089,L,295.5,306.0,1456,39.2,167
L48090,L,295.5,France,1546,35.9,169
M15771,M,295.6,306.1,1490,42.7,171
L48092,L,295.6,306.0,1569,40.4,174
L48093,L,295.5,306.0,,29.5,176
M15774,M,295.4,305.9,1518,40.6,178
M15775,M,295.4,305.8,1526,38.2,181
M15776,M,295.3,305.8,1589,36.2,184
L48097,L,295.3,305.7,1475,51.0,error
M15778,M,295.3,305.7,,38.5,189
L48099,L,295.4,305.8,1407,50.7,192
M15780,M,295.5,305.9,1518,44.1,194
H30335,H,295.5,305.9,,37.2,197
M15782,M,295.5,305.9,1380,52.4,202
M15783,M,295.5,France,1423,45.3,205
L48104,L,295.5,France,1800,27.6,error
H30339,H,295.6,306.1,1623,30.9,
L48106,L,295.6,306.1,1372,55.6,
H30341,H,295.6,306.0,1396,52.4,0
L48108,L,295.6,306.0,,21.9,error
L48109,L,295.6,306.0,1419,51.1,7
M15790,M,295.5,305.9,1453,47.3,9
L48111,L,295.5,305.9,1542,36.2,12
L48112,L,295.6,306.0,1363,50.0,14
L48113,L,295.5,France,1597,37.2,16
M15794,M,,France,1326,50.8,18
M15795,M,295.5,France,1641,36.6,21
M15796,M,295.6,306.1,1418,46.2,24
L48117,L,295.6,306.2,1263,,27
L48118,L,295.6,306.2,,25.8,29
L48119,L,295.5,France,1488,,31
L48120,L,295.6,France,1443,48.9,
L48121,L,295.6,306.2,1650,28.2,error
M15802,M,295.7,306.3,1462,,37
M15803,M,295.6,France,1477,45.0,40
