Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M16540,M,297.9,307.4,1610,34.6,219
M16541,M,297.8,307.3,1804,26.0,
H31096,H,297.9,307.4,,,225
M16543,M,297.9,307.4,1403,52.8,error
L48864,L,297.8,307.3,1438,44.5,3
L48865,L,297.9,307.3,1824,26.3,5
H31100,H,297.9,307.3,1663,28.7,
L48867,L,297.9,307.3,1502,36.7,12
L48868,L,297.9,307.4,1606,35.5,14
L48869,L,297.9,307.5,1561,37.7,16
M16550,M,297.9,307.4,1435,42.9,18
L48871,L,297.9,307.5,1602,38.3,21
M16552,M,,307.6,1764,27.7,23
H31107,H,298.0,307.5,1683,27.8,26
L48874,L,298.0,307.5,1618,35.2,31
L48875,L,298.0,France,1509,,33
L48876,L,297.9,307.6,1550,39.0,35
M16557,M,297.9,307.6,1519,44.0,37
L48878,L,297.9,307.6,1481,38.0,40
L48879,L,298.1,307.7,1289,48.3,42
M16560,M,298.0,France,1844,23.8,44
L48881,L,298.0,307.7,1479,42.5,47
L48882,L,298.0,307.7,1430,47.3,error
M16563,M,,307.8,1636,36.7,51
M16564,M,298.1,307.8,1503,44.7,54
M16565,M,,307.8,1608,32.6,
L48886,L,298.2,307.8,1521,42.9,error
L48887,L,,307.8,1439,41.6,62
L48888,L,298.2,307.8,,31.5,64
L48889,L,298.2,307.8,,26.1,66
L48890,L,298.2,307.8,1530,35.9,
L48891,L,298.2,307.8,1355,51.3,70
L48892,L,298.3,307.9,1551,33.8,72
L48893,L,,307.8,1515,46.7,74
L48894,L,298.2,307.8,1388,,76
L48895,L,298.2,France,1585,34.6,78
L48896,L,298.1,307.7,1523,37.7,80
L48897,L,298.2,307.6,1369,54.5,
M16578,M,298.2,307.7,,31.0,84
L48899,L,298.2,France,1503,38.3,error
L48900,L,,307.7,1459,44.5,89
L48901,L,298.2,France,1688,32.4,error
M16582,M,298.2,France,1952,21.6,93
L48903,L,298.2,307.8,2029,19.9,error
M16584,M,298.3,307.8,,52.5,98
M16585,M,298.3,307.8,1392,50.4,
L48906,L,298.3,307.8,1906,,104
M16587,M,,307.7,1602,33.4,106
L48908,L,,307.7,1465,,109
M16589,M,298.3,307.7,1439,43.8,
M16590,M,298.3,307.8,1330,55.4,114
M16591,M,298.3,307.9,1485,42.0,117
H31146,H,298.4,307.9,1700,28.2,120
L48913,L,298.4,308.0,1515,42.8,616.0
M16594,M,,308.1,1501,39.2,
L48915,L,298.4,308.0,1380,47.6,130
L48916,L,298.4,307.9,1544,35.9,132
L48917,L,298.4,307.9,1743,27.3,134
H31152,H,298.4,France,,21.4,136
H31153,H,298.5,307.9,1260,54.2,141
M16600,M,298.5,307.9,1640,33.1,146
M16601,M,298.5,308.0,1363,49.2,149
L48922,L,298.5,308.0,1379,49.6,152
M16603,M,298.5,308.0,1713,25.8,error
M16604,M,298.5,308.0,1461,51.9,157
L48925,L,298.5,308.0,1624,29.8,160
L48926,L,298.4,308.0,,41.1,162
L48927,L,298.4,France,2381,,164
H31162,H,298.4,307.7,1626,31.1,166
L48929,L,298.3,307.7,1576,33.8,171
M16610,M,298.4,307.8,1617,31.6,173
L48931,L,298.3,307.6,,20.6,176
L48932,L,298.2,307.6,1492,37.2,178
L48933,L,,307.5,1470,51.3,180
M16614,M,298.0,307.4,1463,,
L48935,L,298.0,307.3,,46.5,185
M16616,M,298.1,307.4,1363,60.1,187
M16617,M,298.1,307.4,1335,,190
L48938,L,298.1,307.4,1608,33.9,193
H31173,H,298.0,307.4,,35.2,195
L48940,L,298.1,307.5,1684,33.1,
L48941,L,298.1,307.6,1950,20.3,202
H31176,H,298.2,307.6,1460,48.6,204
L48943,L,298.2,307.6,1511,31.0,209
H31178,H,298.2,307.6,1318,55.7,0
L48945,L,,307.6,-307.6,51.8,5
M16626,M,298.3,France,1717,27.1,7
M16627,M,298.3,307.7,1520,41.4,10
M16628,M,298.3,307.8,1485,42.0,13
L48949,L,298.4,307.9,1981,23.2,error
H31184,H,298.4,307.9,1605,,615.8
L48951,L,298.4,307.9,1446,45.3,23
L48952,L,298.4,308.0,1508,47.9,25
L48953,L,298.5,308.0,,59.5,27
M16634,M,298.5,308.0,1519,37.3,29
L48955,L,298.5,308.0,1404,48.1,32
L48956,L,298.5,308.1,,31.1,34
H31191,H,298.6,308.2,1555,36.8,36
L48958,L,,308.2,1325,54.0,41
M16639,M,298.6,308.2,1488,44.0,43
L48960,L,298.5,308.2,1595,,
L48961,L,298.5,308.1,1662,28.6,error
L48962,L,298.4,308.0,,37.4,
H31197,H,298.3,308.0,1553,37.240696090355954,52
L48964,L,298.3,308.0,-308.0,3.8,57
L48965,L,298.2,308.0,1538,38.2,59
L48966,L,298.4,308.2,1618,,61
L48967,L,298.4,308.2,1364,45.9,63
L48968,L,298.3,308.0,1442,47.3,65
L48969,L,298.2,307.9,1313,67.3,67
L48970,L,298.2,307.9,1847,23.6,69
L48971,L,298.1,307.8,1524,40.8,71
M16652,M,298.1,307.7,1445,48.0,73
L48973,L,298.1,307.8,1761,28.2,76
M16654,M,298.1,307.8,1514,43.5,78
M16655,M,298.1,307.7,1498,38.3,81
H31210,H,298.1,307.6,1542,37.1,84
M16657,M,298.0,307.6,1508,41.8,89
M16658,M,298.0,307.5,1431,52.9,92
M16659,M,298.0,307.5,1427,,95
M16660,M,298.0,307.5,,,98
M16661,M,298.0,307.5,1427,,101
H31216,H,298.1,307.6,1496,44.1,
L48983,L,298.1,307.7,1388,40.3,615.4
L48984,L,298.1,307.7,1495,48.1,111
H31219,H,,307.7,1376,56.2,113
H31220,H,298.0,307.6,1593,32.2,118
L48987,L,298.0,307.6,1654,28.9,123
L48988,L,298.1,307.7,2567,12.8,125
L48989,L,298.1,307.7,1767,27.0,127
L48990,L,298.1,307.6,1364,,129
M16671,M,298.1,France,1569,31.2,131
L48992,L,298.2,307.8,1476,36.8,134
L48993,L,298.1,307.7,1479,45.0,136
L48994,L,298.1,307.7,1650,34.1,
M16675,M,298.1,France,1565,36.3,140
L48996,L,298.1,France,1460,,143
L48997,L,298.1,307.7,1664,27.6,615.4
M16678,M,298.1,307.7,1435,40.9,147
M16679,M,298.1,307.6,2066,19.2,150
L49000,L,298.1,307.5,1493,43.7,153
L49001,L,298.1,307.6,1354,43.3,error
L49002,L,298.1,307.6,,39.4,157
L49003,L,298.1,307.7,1414,48.7,159
L49004,L,298.1,France,1391,57.4,161
M16685,M,298.0,307.5,1784,27.8,163
H31240,H,297.8,307.3,1516,40.1,166
M16687,M,297.9,307.3,1420,47.8,171
L49008,L,297.8,307.2,1351,51.54218856594909,174
L49009,L,297.8,307.2,1880,23.0,176
L49010,L,297.8,307.3,1859,24.0,178
M16691,M,297.8,307.3,1315,54.0,180
M16692,M,,307.4,1330,51.7,error
L49013,L,297.8,France,1327,61.0,error
L49014,L,297.8,307.2,1498,38.1,188
H31249,H,297.8,307.3,1555,35.8,190
L49016,L,297.7,307.2,1518,35.8,error
L49017,L,297.7,307.2,1392,43.0,197
M16698,M,297.8,307.2,1456,39.6,199
L49019,L,297.7,307.1,1715,30.2,0
M16700,M,297.7,307.2,,43.7,2
L49021,L,,France,1668,37.8,5
H31256,H,297.7,307.1,1855,22.5,7
L49023,L,297.6,France,1496,39.2,12
M16704,M,297.6,307.1,1471,44.9,14
L49025,L,297.7,307.2,1444,40.0,17
H31260,H,297.7,307.3,1514,38.6,19
L49027,L,,France,1412,50.7,24
H31262,H,297.7,307.2,1429,44.1,26
L49029,L,297.7,307.2,1668,32.7,31
M16710,M,297.7,307.2,1372,,33
M16711,M,,307.3,1365,49.2,error
M16712,M,297.6,307.1,1526,39.1,error
L49033,L,297.6,307.2,1486,40.6,
M16714,M,297.6,307.2,1470,42.6,44
H31269,H,297.7,307.3,1249,62.8,error
M16716,M,297.8,307.4,1752,26.1,52
L49037,L,297.7,307.4,1643,36.5,55
M16718,M,297.8,307.4,1488,36.1,57
L49039,L,297.8,France,,45.8,60
L49040,L,,307.6,1607,30.3,62
M16721,M,297.9,307.6,1609,30.3,64
L49042,L,297.9,307.7,1517,44.4,error
M16723,M,297.9,307.7,1517,39.5,
L49044,L,297.9,307.7,1546,37.6,72
L49045,L,297.9,307.7,1567,34.7,74
M16726,M,,307.9,1662,28.9,76
L49047,L,298.1,307.9,1502,41.8,79
L49048,L,,308.0,1361,56.9,81
M16729,M,298.3,308.1,1630,32.7,83
L49050,L,298.3,308.0,1486,42.3,86
L49051,L,298.3,308.1,1840,,88
L49052,L,298.3,308.1,1326,58.4,90
L49053,L,298.4,308.1,1367,,92
L49054,L,,308.1,1598,,94
L49055,L,298.3,308.0,1363,50.1,
L49056,L,298.3,308.0,1242,62.0,98
M16737,M,298.2,307.8,1566,33.8,100
M16738,M,298.1,307.7,1424,47.7,103
M16739,M,298.2,307.7,1608,33.8,106
L49060,L,298.1,307.7,1705,29.1,error
L49061,L,,307.6,1548,45.8,111
M16742,M,298.0,307.6,1581,43.4,113
M16743,M,298.0,France,,46.7,116
M16744,M,298.0,307.6,1792,26.0,119
L49065,L,298.0,307.6,1683,32.8,122
L49066,L,297.9,307.6,1503,40.7,124
M16747,M,,307.5,1642,32.4,126
M16748,M,297.8,307.4,1902,24.3,
H31303,H,297.7,307.4,1432,,132
L49070,L,297.8,France,1512,40.8,137
L49071,L,,307.4,1764,,
M16752,M,297.8,France,1438,43.6,
L49073,L,297.8,307.5,1631,29.9,144
H31308,H,297.9,307.5,1880,23.3,146
L49075,L,297.9,307.6,1344,54.3,151
L49076,L,297.9,307.5,1574,35.8,153
L49077,L,297.8,307.4,1418,41.2,155
L49078,L,297.8,307.5,1372,54.1,157
L49079,L,297.8,France,1388,40.0,159
H31314,H,297.9,307.6,1493,36.0,161
M16761,M,297.9,307.6,1505,40.1,166
L49082,L,298.0,307.6,1694,29.1,
L49083,L,297.9,307.6,1968,20.4,171
M16764,M,298.0,307.6,1569,35.6,173
L49085,L,297.9,France,1687,29.1,
L49086,L,297.9,France,1430,52.4,178
L49087,L,297.9,307.6,1504,42.4,180
L49088,L,297.9,France,1977,20.2,
L49089,L,,307.7,1435,45.6,184
H31324,H,298.0,307.7,1547,36.8,186
M16771,M,298.1,307.8,1316,57.2,191
M16772,M,298.0,France,1621,,194
M16773,M,298.0,307.8,1492,40.2,197
L49094,L,298.0,307.7,1643,32.3,200
L49095,L,298.0,307.7,1492,38.7,202
L49096,L,298.0,307.7,1387,50.8,204
M16777,M,,307.9,1463,,206
M16778,M,298.1,307.9,1496,40.0,0
L49099,L,298.2,308.0,1658,30.0,3
L49100,L,298.1,307.9,2161,,5
L49101,L,298.1,307.9,1665,32.0,7
L49102,L,298.0,307.8,,26.6,
L49103,L,,307.7,1529,34.1,11
L49104,L,297.9,307.7,1353,50.7,13
L49105,L,297.9,307.7,1537,37.7,15
L49106,L,298.0,307.7,1606,30.8,615.4
H31341,H,,307.8,1314,,19
L49108,L,298.0,307.8,,,24
M16789,M,298.0,307.8,1483,50.9,26
M16790,M,298.1,307.9,1569,37.0,
M16791,M,298.2,308.0,1969,,
M16792,M,298.1,308.0,1686,29.3,35
L49113,L,298.1,308.0,1638,35.1,38
L49114,L,298.1,307.9,1698,33.3,40
M16795,M,298.1,307.9,1377,55.1,42
M16796,M,298.1,308.0,2129,18.4,45
L49117,L,298.2,308.0,1411,42.4,48
L49118,L,298.1,307.9,1517,50.92178201388609,50
M16799,M,298.1,307.9,1303,53.9,52
L49120,L,298.1,307.9,1578,35.6,55
L49121,L,298.1,307.9,,58.2,57
L49122,L,298.1,308.0,1456,42.4,59
L49123,L,298.1,308.0,1704,30.9,61
L49124,L,298.1,308.1,1791,27.3,63
L49125,L,298.1,308.1,1616,32.8,65
L49126,L,298.2,308.1,1622,34.9,error
L49127,L,298.2,308.1,1462,49.9,69
L49128,L,298.1,308.1,,45.8,71
M16809,M,298.1,308.0,1543,41.9,73
M16810,M,298.0,307.9,1479,47.6,76
L49131,L,298.0,307.8,1839,22.7,79
L49132,L,298.0,307.8,1266,60.5,615.6
L49133,L,297.9,307.7,-307.7,34.9,83
L49134,L,297.9,307.8,1459,46.9,85
L49135,L,297.9,307.7,1308,55.2,87
M16816,M,,307.7,-307.7,46.8,89
H31371,H,297.9,307.7,,35.9,92
H31372,H,,307.7,,43.2,97
M16819,M,297.8,307.6,1352,49.4,102
L49140,L,297.8,307.6,1446,51.4,105
L49141,L,297.8,307.5,1448,51.2,
L49142,L,297.8,307.5,1391,48.6,109
L49143,L,297.7,307.5,1379,43.3,111
M16824,M,297.8,307.5,1405,,113
L49145,L,297.8,307.5,1581,33.1,116
L49146,L,297.9,307.6,1515,40.5,
