Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M16960,M,299.3,309.3,1471,46.0,42
L49281,L,299.3,309.3,-309.3,37.8,45
L49282,L,299.3,309.3,1325,62.0,47
M16963,M,299.3,309.1,-309.1,,49
M16964,M,299.3,309.1,1600,35.3,52
L49285,L,299.3,309.1,1495,44.0,55
L49286,L,299.4,309.1,1645,28.6,57
M16967,M,,309.1,1417,47.3,
H31522,H,299.4,309.0,1415,51.7,error
M16969,M,299.3,309.0,1496,43.4,error
H31524,H,299.3,309.0,1508,35.0,70
L49291,L,299.4,309.0,1436,47.9,75
L49292,L,299.5,309.1,1852,22.6,77
L49293,L,,309.1,1863,22.5,79
H31528,H,,France,1373,44.1,81
L49295,L,299.4,309.0,1404,47.3,618.0
M16976,M,299.4,309.0,1381,44.9,88
H31531,H,299.4,308.9,1762,29.3,91
H31532,H,299.3,308.9,1429,43.0,96
M16979,M,,308.9,1858,,101
H31534,H,299.2,France,1908,21.3,104
M16981,M,299.2,308.8,1503,37.4,109
M16982,M,299.2,308.8,1523,38.9,112
L49303,L,299.3,309.0,1491,38.4,115
L49304,L,299.2,308.9,1430,,117
L49305,L,299.3,308.9,1258,69.4,119
L49306,L,299.3,309.0,1449,46.5,618.0
H31541,H,299.3,309.0,1425,,123
L49308,L,299.4,309.0,1800,24.3,128
H31543,H,299.4,309.0,1607,33.7,130
L49310,L,299.4,309.0,1391,58.2,135
L49311,L,299.4,309.1,1432,45.4,137
L49312,L,299.4,309.0,1660,28.4,139
H31547,H,299.3,309.0,,29.7,141
L49314,L,299.3,309.0,,46.3,146
L49315,L,299.3,309.0,1511,47.8,148
L49316,L,,France,,41.5,150
L49317,L,299.3,308.9,1623,31.1,152
L49318,L,299.3,309.0,1734,30.6,154
L49319,L,299.3,France,1415,47.6,156
L49320,L,299.3,309.0,1419,,error
M17001,M,299.3,308.9,1577,34.9,160
L49322,L,299.3,308.9,1376,60.3,163
M17003,M,299.3,308.8,1442,49.0,165
L49324,L,299.4,France,1451,40.5,168
L49325,L,299.3,308.8,1550,45.8,170
L49326,L,299.3,France,1647,32.9,172
