Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L48440,L,297.6,309.0,1528,33.8,22
H30675,H,297.6,309.0,1885,25.2,
H30676,H,297.8,309.2,,33.0,error
L48443,L,297.8,309.2,1400,56.9,34
M16124,M,297.8,309.3,2243,15.7,36
L48445,L,297.9,309.4,,35.7,39
L48446,L,298.0,309.6,1633,34.8,41
M16127,M,298.1,309.6,1549,38.7,43
L48448,L,298.0,309.5,1496,45.8,46
L48449,L,298.1,309.5,1467,41.8,48
M16130,M,298.0,309.4,1276,65.9,error
H30685,H,298.0,309.4,1490,40.5,53
H30686,H,,309.4,1562,38.1,58
L48453,L,298.1,309.4,1397,48.2,63
H30688,H,298.1,309.5,1530,40.2,65
M16135,M,298.1,309.4,1362,47.6,70
M16136,M,,309.4,1693,,73
M16137,M,298.2,309.4,1408,46.5,76
L48458,L,298.2,309.4,1398,52.9,79
M16139,M,298.3,309.6,1531,40.1,81
H30694,H,,309.5,1521,37.1,84
H30695,H,298.3,France,1427,54.3,89
L48462,L,298.3,309.4,1546,36.1,94
L48463,L,298.3,309.4,,,96
L48464,L,298.4,France,2153,15.3,error
M16145,M,298.5,309.6,1492,41.7,100
L48466,L,298.5,309.6,1582,40.3,error
L48467,L,298.5,309.6,1419,41.5,105
M16148,M,298.5,309.6,1441,48.2,107
M16149,M,298.6,309.7,1635,,110
L48470,L,298.6,309.7,1429,,error
M16151,M,298.6,France,1675,28.4,115
M16152,M,298.7,309.7,1868,23.8,
H30707,H,,309.8,1582,33.4,121
L48474,L,298.8,309.9,1486,40.3,error
L48475,L,298.7,309.8,1402,54.3,128
L48476,L,298.7,309.9,1621,34.1,error
L48477,L,298.8,309.9,1428,42.4,132
M16158,M,298.7,309.8,1343,53.6,134
M16159,M,298.7,309.9,1458,40.2,137
L48480,L,298.7,309.8,1322,57.9227854658051,140
L48481,L,298.7,309.9,1483,32.8,142
L48482,L,,309.8,,45.7,144
L48483,L,,309.9,1593,42.5,146
L48484,L,298.8,310.0,2098,19.6,
L48485,L,298.8,310.0,,30.4,150
L48486,L,298.8,310.0,1487,41.4,
L48487,L,298.8,310.0,1423,42.1,154
L48488,L,298.9,310.1,1750,25.0,156
L48489,L,298.9,310.2,1654,31.1,158
L48490,L,298.9,France,1498,50.2,160
L48491,L,298.9,310.1,1587,30.2,
L48492,L,298.9,310.1,,42.6,164
L48493,L,298.9,310.2,1359,56.9,166
M16174,M,299.0,310.3,,34.5,168
L48495,L,299.0,310.3,1520,45.0,171
L48496,L,299.0,310.3,1507,36.7,173
L48497,L,299.0,310.3,1428,46.3,error
M16178,M,299.0,310.3,1582,33.3,error
L48499,L,299.0,310.3,1929,24.4,180
M16180,M,299.0,310.3,1540,38.1,182
L48501,L,298.9,310.2,1362,53.0,185
H30736,H,298.9,310.1,1452,49.9,187
L48503,L,298.9,310.1,1361,51.7,192
M16184,M,298.8,310.1,1243,74.5,194
H30739,H,298.8,310.1,1567,36.8,197
L48506,L,298.9,310.2,1411,46.5,error
L48507,L,298.8,310.2,,26.8,204
M16188,M,298.8,France,1719,28.8,206
H30743,H,298.8,310.2,1663,30.4,209
L48510,L,298.9,310.2,1696,30.2,214
H30745,H,298.9,310.2,1771,,216
L48512,L,299.0,310.3,1868,24.0,221
M16193,M,299.0,310.3,1558,,223
L48514,L,299.0,310.4,1365,49.1,error
L48515,L,299.0,310.4,1371,53.8,228
L48516,L,,310.3,1583,32.6,
H30751,H,,310.2,1613,36.0,0
L48518,L,298.6,310.1,,27.2,5
M16199,M,298.6,France,1668,,error
L48520,L,298.6,France,1569,,10
M16201,M,,310.2,1328,,12
M16202,M,298.6,310.1,1596,,
L48523,L,298.5,France,1676,32.7,18
L48524,L,298.5,310.1,1809,28.9,20
L48525,L,298.5,310.0,1804,38.27314340851184,22
L48526,L,298.6,310.1,1533,33.9,24
L48527,L,298.7,310.2,1717,27.3,26
L48528,L,298.7,310.2,1363,45.5,28
L48529,L,298.7,310.2,1402,45.9,30
L48530,L,298.7,310.2,1436,47.5,
L48531,L,298.7,310.2,1525,43.7,34
M16212,M,298.7,310.2,1598,33.3,36
M16213,M,298.6,310.1,1444,48.1,39
L48534,L,298.6,310.0,1334,48.0,42
M16215,M,298.6,310.0,1681,35.5,44
L48536,L,298.6,309.9,1593,37.4,47
L48537,L,298.6,309.9,1461,45.7,49
M16218,M,298.7,310.1,,31.9,51
L48539,L,298.7,310.2,1404,50.3,620.4
H30774,H,298.8,310.2,1707,27.6,56
M16221,M,298.6,310.1,1458,41.9,61
L48542,L,298.6,310.0,1517,41.2,64
L48543,L,298.7,310.1,1433,54.6,error
L48544,L,298.7,310.2,1566,33.1,68
L48545,L,298.7,310.1,,33.5,70
M16226,M,298.7,310.1,1368,,72
M16227,M,,310.2,1581,,75
H30782,H,,310.3,1708,27.1,78
M16229,M,298.7,310.3,1481,41.5,83
L48550,L,298.7,310.3,1451,40.0,86
M16231,M,298.7,310.3,1495,38.7,88
M16232,M,298.8,310.3,1573,41.8,error
M16233,M,298.8,France,1366,59.0,94
L48554,L,298.8,310.3,1553,36.8,97
M16235,M,298.8,310.3,1528,37.1,99
M16236,M,298.8,310.2,1527,31.2,102
L48557,L,298.8,310.2,,46.7,105
H30792,H,298.8,310.2,1455,44.9,107
L48559,L,298.7,France,1620,34.8,112
L48560,L,298.7,310.1,1786,27.7,114
M16241,M,298.8,310.2,1583,35.7,116
L48562,L,298.8,310.1,1653,,119
M16243,M,298.9,310.2,1331,49.0,121
L48564,L,298.9,310.3,,43.8,124
M16245,M,,310.2,1603,36.1,126
L48566,L,298.9,310.2,1445,,129
L48567,L,298.9,310.1,1823,26.1,131
H30802,H,298.9,310.1,1491,45.3,error
L48569,L,298.9,310.2,1533,42.8,138
L48570,L,,310.2,1409,54.8,140
L48571,L,298.9,310.2,,8.8,142
M16252,M,299.0,310.3,1494,46.6,144
L48573,L,299.1,310.4,1594,33.3,147
L48574,L,299.1,310.4,1527,44.0,149
L48575,L,299.1,310.4,1452,39.7,151
L48576,L,299.0,310.3,1483,39.2,153
L48577,L,299.1,310.2,1569,38.2,error
L48578,L,299.1,310.3,1472,46.6,157
L48579,L,299.0,310.2,1533,43.5,159
H30814,H,298.9,310.1,,62.7,161
H30815,H,298.9,310.2,1532,37.7,166
M16262,M,298.9,310.1,,56.8,171
L48583,L,,310.2,1372,48.0,174
M16264,M,298.9,310.1,1555,40.6,176
L48585,L,298.9,France,1394,42.7,error
L48586,L,298.9,France,1442,48.0,181
L48587,L,298.9,310.0,1564,33.8,183
L48588,L,298.9,310.0,1452,48.9,error
L48589,L,298.9,310.1,1466,42.5,187
M16270,M,298.9,France,1469,,189
L48591,L,298.9,310.1,1944,23.4,192
M16272,M,298.8,309.9,1415,,194
M16273,M,298.7,309.8,1528,,197
M16274,M,298.7,309.8,1570,42.1,200
L48595,L,298.7,309.9,1617,33.0,203
M16276,M,298.7,309.9,2083,18.2,205
L48597,L,298.7,309.9,1541,38.5,619.8
L48598,L,298.8,309.9,1320,47.4,
L48599,L,298.7,309.8,1354,53.3,212
M16280,M,298.8,309.9,1495,,214
L48601,L,298.7,309.8,,31.8,217
L48602,L,298.7,France,1530,35.5,0
L48603,L,298.7,309.8,1539,33.4,2
L48604,L,298.7,309.7,1462,46.8,4
L48605,L,298.6,309.7,1356,54.0,6
M16286,M,298.7,309.7,1622,34.6,8
L48607,L,298.7,309.8,1394,40.3,11
L48608,L,,309.9,1568,33.7,13
M16289,M,298.9,310.0,1456,43.8,15
L48610,L,298.9,310.0,1378,49.3,18
M16291,M,298.9,309.9,1404,41.4,20
L48612,L,298.8,309.8,1437,42.8,23
L48613,L,298.8,309.8,,,25
M16294,M,298.8,309.8,1377,49.6,error
H30849,H,298.8,France,1526,42.1,30
H30850,H,298.8,309.8,1510,44.2,35
H30851,H,298.8,309.9,,45.2,40
L48618,L,298.8,309.9,1482,39.1,45
M16299,M,298.8,309.8,1534,37.0,error
M16300,M,298.8,309.9,1741,27.7,error
L48621,L,298.8,France,1550,38.8,error
M16302,M,298.8,310.0,1486,38.5,55
L48623,L,298.9,310.1,1602,38.2,58
L48624,L,299.0,310.2,1477,37.9,60
L48625,L,299.0,310.1,1618,29.2,62
M16306,M,299.0,310.2,1628,,64
M16307,M,299.0,310.3,1662,33.6,67
M16308,M,299.0,310.3,1657,31.0,70
H30863,H,299.0,310.4,1677,30.8,73
