Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L49700,L,,308.6,1535,41.2,
L49701,L,298.8,308.6,1584,34.4,42
M17382,M,298.8,308.7,1543,38.2,error
L49703,L,298.8,308.7,1635,35.2,47
M17384,M,298.8,308.7,1446,45.5,49
M17385,M,298.8,308.6,1598,35.1,52
L49706,L,298.8,308.6,1501,35.0,55
L49707,L,298.8,308.5,1450,50.8,57
L49708,L,298.8,308.6,1730,25.9,59
M17389,M,298.8,308.6,1571,33.7,61
L49710,L,298.9,308.7,1438,51.7,64
M17391,M,,308.5,1510,38.7,66
L49712,L,298.9,308.7,1389,44.9,69
L49713,L,298.8,308.7,1490,33.6,
L49714,L,298.9,308.7,1729,26.6,73
L49715,L,,308.8,1495,,75
L49716,L,298.9,308.8,1281,53.9,77
H31951,H,298.9,308.7,1353,48.1,79
L49718,L,,308.8,1429,50.1,84
L49719,L,299.1,308.8,1413,42.1,
L49720,L,299.1,308.8,1502,38.3,error
H31955,H,299.1,308.8,1553,32.6,90
H31956,H,299.2,308.9,1712,,error
L49723,L,299.3,309.0,1786,23.5,100
L49724,L,,309.0,1951,21.4,102
M17405,M,299.2,309.0,1541,36.3,104
L49726,L,299.2,309.1,1605,34.3,107
L49727,L,299.2,309.1,1578,38.1,109
M17408,M,299.3,309.2,1440,37.5,111
L49729,L,299.4,309.2,1489,42.3,114
L49730,L,299.4,309.3,1366,48.4,116
L49731,L,299.3,309.2,1541,37.2,118
H31966,H,299.3,309.1,1552,40.7,120
L49733,L,299.3,France,1473,40.3,125
L49734,L,299.3,309.1,1531,37.9,127
L49735,L,299.3,France,,37.2,129
M17416,M,299.3,309.1,1449,,
M17417,M,299.4,309.1,,50.0,134
M17418,M,299.2,309.0,1881,23.9,137
L49739,L,299.3,309.0,1447,50.4,error
M17420,M,299.4,309.1,1326,62.0,
L49741,L,299.4,309.2,,31.7,145
L49742,L,299.3,309.1,1551,39.1,147
L49743,L,299.3,309.1,1496,37.2,149
L49744,L,299.3,309.1,1493,38.0,151
L49745,L,,309.1,1304,50.5,153
M17426,M,299.3,309.0,1420,41.6,155
L49747,L,299.4,309.1,1766,24.6,error
L49748,L,299.6,309.2,1450,43.1,160
H31983,H,299.5,309.2,1872,22.6,162
L49750,L,299.6,309.2,1713,26.5,167
M17431,M,299.5,France,1497,40.9,error
M17432,M,299.4,309.1,1352,44.7,172
L49753,L,299.5,309.2,1499,41.5,error
L49754,L,299.5,309.3,1972,19.3,177
L49755,L,299.5,309.3,1422,49.2,error
L49756,L,299.5,France,1523,41.5,181
L49757,L,299.5,309.4,1563,41.5,183
L49758,L,299.4,309.3,1391,46.6,185
L49759,L,299.3,309.1,,24.7,187
L49760,L,299.3,309.1,1293,53.7,
L49761,L,299.2,309.1,1345,60.7,191
L49762,L,299.2,309.0,1615,,193
L49763,L,299.2,France,,,195
L49764,L,299.1,308.8,1502,46.7,error
M17445,M,299.0,308.7,1620,35.4,199
L49766,L,299.0,308.7,1537,42.8,202
L49767,L,299.0,France,2248,16.8,204
L49768,L,299.0,308.7,1706,28.6,206
L49769,L,299.0,France,2250,16.6,208
L49770,L,299.0,308.7,1396,48.6,0
L49771,L,298.9,308.6,1522,46.4,2
L49772,L,298.9,France,1539,45.4,error
H32007,H,298.9,308.5,1415,54.0,6
L49774,L,298.8,France,1446,,error
M17455,M,,308.6,1486,41.1,error
L49776,L,299.0,308.7,1426,38.6,16
L49777,L,299.0,308.7,1449,38.9,18
L49778,L,299.1,308.8,1320,67.5,
M17459,M,299.2,308.9,1447,39.6,error
L49780,L,299.3,309.0,1422,47.3,25
L49781,L,299.3,309.1,1399,,27
L49782,L,299.4,309.2,1427,41.5,29
M17463,M,299.3,309.2,1334,46.3,31
M17464,M,299.3,309.1,1385,45.6,34
L49785,L,299.4,309.2,1552,37.4,37
H32020,H,,309.3,1534,37.5,39
L49787,L,299.4,309.3,1448,48.6,error
L49788,L,299.5,309.3,1409,44.7,error
L49789,L,299.4,309.2,1621,34.5,48
H32024,H,299.4,309.1,1547,40.9,50
L49791,L,299.4,309.1,1957,22.1,55
L49792,L,,309.1,2421,14.2,error
M17473,M,299.3,309.1,1571,38.3,59
L49794,L,299.3,France,1634,36.8,62
L49795,L,,309.0,1516,38.7,64
L49796,L,299.4,309.1,1207,66.5,
L49797,L,299.4,309.1,1670,35.9,68
M17478,M,299.4,309.1,1461,48.6,70
L49799,L,299.4,309.2,1569,40.8,73
L49800,L,,309.2,1556,,
M17481,M,299.5,France,1506,41.5,77
M17482,M,299.6,309.4,1642,30.3,80
M17483,M,299.6,309.4,1283,62.1,83
H32038,H,299.7,309.5,1375,46.8,86
L49805,L,299.7,309.4,1399,39.9,91
L49806,L,299.7,309.4,1650,29.8,93
M17487,M,299.8,309.6,1346,53.2,95
H32042,H,299.9,309.6,1410,51.2,98
L49809,L,,309.7,1586,37.8,103
L49810,L,300.0,309.8,,39.6,105
H32045,H,300.0,309.7,1529,42.4,error
M17492,M,300.0,309.7,1652,28.6,112
L49813,L,300.1,309.8,1532,39.8,115
L49814,L,300.0,309.7,1554,32.0,
H32049,H,,309.6,1462,51.0,119
L49816,L,299.9,309.6,1254,61.3,124
L49817,L,299.9,309.6,1294,44.7000176362892,126
L49818,L,299.8,309.5,,,128
M17499,M,,309.4,1412,47.8,130
M17500,M,299.9,309.5,1372,,
H32055,H,299.8,309.5,1420,46.7,136
L49822,L,299.8,309.5,1542,40.3,141
M17503,M,299.8,309.4,1401,,143
L49824,L,299.8,France,,42.5,146
H32059,H,299.9,309.5,1547,38.5,148
M17506,M,,309.5,1453,43.2,153
L49827,L,,309.4,1408,45.6,156
L49828,L,299.8,309.4,1436,51.6,158
M17509,M,299.9,309.5,1582,38.2,160
L49830,L,299.9,309.6,1280,59.3,error
L49831,L,299.9,309.5,2008,20.4,165
L49832,L,299.9,309.5,1772,23.5,167
L49833,L,299.9,309.5,1779,26.1,169
L49834,L,299.9,309.5,1567,35.5,171
M17515,M,299.8,309.4,1751,27.0,
L49836,L,299.9,309.5,1349,51.3,176
M17517,M,300.0,309.5,1425,,
L49838,L,300.0,309.4,1395,44.5,
H32073,H,299.8,309.3,1595,32.1,183
L49840,L,299.8,309.3,1291,56.4,188
M17521,M,299.9,309.4,1509,42.8,190
M17522,M,299.9,309.4,1483,38.1,193
L49843,L,299.9,309.3,1620,31.1,196
M17524,M,299.9,309.4,1487,,198
L49845,L,299.8,309.4,2256,15.9,201
H32080,H,299.7,309.2,1691,27.7,203
M17527,M,299.8,309.3,1663,35.92273424570073,208
M17528,M,299.8,309.3,1640,31.1,211
H32083,H,299.7,309.3,1494,37.8,214
L49850,L,299.8,309.4,1467,46.2,219
M17531,M,299.7,309.3,1399,41.9,221
L49852,L,,309.3,1445,42.6,0
L49853,L,,309.4,1480,40.9,2
L49854,L,299.7,309.3,1546,37.2,
L49855,L,,309.3,1574,35.8,6
L49856,L,299.7,309.3,1592,,8
L49857,L,299.8,France,1495,39.6,10
L49858,L,299.8,309.6,1447,43.1,12
