Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M15280,M,297.3,308.3,1301,39.6,5
M15281,M,,308.3,1657,,8
L47602,L,297.3,308.3,1333,55.2,error
L47603,L,297.3,308.3,1484,43.9,error
L47604,L,297.3,308.4,1430,45.7,15
M15285,M,297.3,308.4,1665,28.9,17
L47606,L,297.4,308.5,1501,44.9,20
M15287,M,297.5,France,1496,42.2,22
M15288,M,,308.6,1595,36.9,error
L47609,L,297.5,308.6,1208,,28
L47610,L,297.5,308.6,1596,37.1,30
L47611,L,297.5,308.5,1446,41.9,32
M15292,M,,308.5,1466,39.7,34
M15293,M,297.6,308.5,1848,23.7,37
M15294,M,,308.5,1484,44.7,617.0
L47615,L,297.4,308.3,1493,41.2,43
L47616,L,297.3,308.3,1504,36.3,45
L47617,L,297.3,308.3,1538,38.5,47
L47618,L,297.4,308.4,1341,52.2,49
M15299,M,297.4,308.3,1535,34.6,51
L47620,L,297.4,308.5,1389,39.2,54
H29855,H,297.5,308.5,1393,46.6,56
L47622,L,297.4,308.5,-308.5,,61
H29857,H,297.4,France,1469,45.1,63
L47624,L,297.4,308.4,1582,37.2,68
L47625,L,297.5,France,,26.7,70
L47626,L,297.5,308.6,1452,39.0,72
M15307,M,297.6,308.7,1376,59.9,
L47628,L,297.5,308.6,1552,44.9,77
L47629,L,297.6,308.7,1622,37.9,79
M15310,M,297.6,308.7,1419,41.7,81
H29865,H,297.5,308.6,,46.1,84
M15312,M,297.4,France,1643,31.0,89
L47633,L,297.4,308.7,1510,36.2,
L47634,L,297.4,308.7,1468,46.6,94
L47635,L,297.4,308.7,1429,57.4,96
H29870,H,297.3,308.7,1478,47.6,98
L47637,L,297.4,France,1276,53.6,103
L47638,L,297.3,308.6,1486,42.6,105
L47639,L,297.4,308.6,1476,42.3,617.2
H29874,H,297.3,308.6,1431,42.0,109
L47641,L,297.4,308.7,1402,40.2,114
L47642,L,297.4,308.7,1433,43.4,error
L47643,L,297.4,308.7,2874,4.2,118
L47644,L,297.3,308.6,1511,35.7,120
M15325,M,297.3,308.6,1456,42.9,122
L47646,L,297.2,308.5,1550,41.5,125
L47647,L,297.2,308.5,2182,,127
L47648,L,297.3,308.7,1619,31.6,129
M15329,M,,308.8,1586,32.7,131
H29884,H,,308.8,1499,44.2,error
H29885,H,297.3,308.8,1419,42.4,139
M15332,M,297.4,309.0,1497,41.8,144
M15333,M,297.4,309.0,1520,37.0,147
L47654,L,297.4,309.1,1478,49.8,150
L47655,L,297.4,309.1,1380,41.1,152
L47656,L,297.4,France,1570,37.9,154
H29891,H,,309.0,,,156
L47658,L,297.4,309.0,1833,22.6,161
M15339,M,297.4,308.9,1323,57.3,163
L47660,L,297.4,309.0,1583,32.0,166
M15341,M,297.3,309.0,1556,39.5,error
L47662,L,297.3,309.0,1548,37.4,171
L47663,L,297.4,309.0,1324,56.9,error
L47664,L,297.4,309.0,,33.7,
M15345,M,297.4,309.0,1685,30.7,177
M15346,M,297.4,309.1,1582,35.9,error
M15347,M,297.4,France,1463,35.0,183
L47668,L,297.4,France,1584,42.8,
M15349,M,297.5,309.2,-309.2,55.8,188
L47670,L,297.4,309.2,1459,37.9,191
L47671,L,297.4,309.2,1420,45.6,193
L47672,L,297.5,309.3,1404,,195
L47673,L,297.5,309.3,1470,38.8,197
L47674,L,,309.4,1326,,199
H29909,H,297.5,309.3,1459,49.7,error
M15356,M,297.5,309.2,1530,40.0,206
L47677,L,297.4,309.0,1505,39.2,209
L47678,L,297.5,France,1611,,211
L47679,L,297.5,309.1,1515,35.1,
M15360,M,297.5,309.2,1804,27.4,215
M15361,M,297.6,309.3,1464,46.2,error
L47682,L,297.6,309.2,1390,43.3,
M15363,M,297.6,309.2,1442,48.1,0
M15364,M,297.6,309.3,1529,41.9,3
L47685,L,297.6,309.3,1610,35.0,6
L47686,L,297.6,309.3,,,8
H29921,H,297.8,France,1445,39.6805807893579,error
L47688,L,297.7,309.3,1893,24.6,15
M15369,M,297.6,309.3,1415,41.3,17
L47690,L,297.5,309.3,1564,37.5,20
L47691,L,297.5,309.3,1479,39.4,22
L47692,L,297.5,309.2,1426,44.8,
L47693,L,297.4,309.2,1428,,26
L47694,L,297.4,309.2,1620,33.2,28
L47695,L,297.5,309.2,1715,28.0,30
L47696,L,297.5,France,1732,29.9,32
M15377,M,297.5,309.4,1391,62.248036155917376,34
L47698,L,297.6,309.5,1924,20.6,37
M15379,M,297.7,309.5,2027,19.8,error
L47700,L,297.6,309.5,1617,36.2,error
L47701,L,297.5,309.4,1497,35.8,error
M15382,M,297.5,309.5,1448,43.7,46
L47703,L,297.4,309.4,1401,45.9,49
L47704,L,297.4,309.4,1620,35.4,51
L47705,L,297.4,France,1466,,53
L47706,L,,France,1373,50.6,55
M15387,M,297.6,309.6,1592,35.8,57
M15388,M,297.5,309.5,1553,,60
L47709,L,297.6,309.5,1569,36.2,63
M15390,M,,France,1709,32.2,65
L47711,L,297.6,France,1549,34.9,68
L47712,L,297.5,309.4,1443,45.4,70
L47713,L,297.5,France,1675,29.8,72
L47714,L,297.5,309.3,1623,33.4,74
H29949,H,297.4,309.3,1365,52.4,76
L47716,L,297.4,309.3,1759,16.436480275304035,81
H29951,H,297.4,309.3,1516,,83
M15398,M,297.4,France,1499,36.8,88
M15399,M,297.4,309.3,1775,25.8,91
L47720,L,297.4,309.4,1473,45.5,94
L47721,L,297.4,309.4,1296,52.3,96
L47722,L,297.5,309.4,,24.7,98
H29957,H,297.5,309.3,-309.3,36.1,100
M15404,M,297.5,France,,26.6,105
L47725,L,297.6,309.4,1958,22.1,108
L47726,L,,309.4,1809,24.3,110
M15407,M,297.5,309.4,1482,39.3,error
L47728,L,297.4,309.3,1332,53.2,115
L47729,L,297.4,309.2,1437,,117
L47730,L,297.4,309.2,1698,29.4,119
L47731,L,,309.2,1274,54.3,
M15412,M,297.4,309.3,,,123
M15413,M,297.4,309.3,1564,36.0,126
H29968,H,297.5,France,1368,45.3,129
M15415,M,297.4,309.4,1539,42.2,error
L47736,L,297.5,France,1357,50.1,137
M15417,M,297.5,309.4,-309.4,48.3,139
L47738,L,297.5,309.4,1650,34.6,error
L47739,L,,309.4,1503,40.6,144
L47740,L,297.5,France,1318,58.2,146
M15421,M,297.5,309.4,1678,34.4,148
L47742,L,297.6,309.5,1574,30.9,error
L47743,L,297.7,309.6,1529,35.2,153
H29978,H,297.6,309.6,1669,32.1,155
H29979,H,297.7,309.7,1570,35.8,160
M15426,M,297.6,309.7,1541,33.7,165
M15427,M,297.7,309.7,1680,30.2,168
L47748,L,297.8,309.7,1935,22.1,171
M15429,M,297.7,France,1596,35.2,error
L47750,L,297.7,309.7,1498,41.0,176
M15431,M,297.8,309.8,1676,29.0,178
L47752,L,297.8,309.9,1351,49.0,error
L47753,L,297.9,309.9,1472,45.0,183
M15434,M,297.9,310.0,1439,41.7,185
M15435,M,297.9,309.9,1410,55.4,
H29990,H,297.7,309.7,1440,51.1,191
L47757,L,297.7,France,,37.7,error
L47758,L,,309.8,1533,36.8,198
M15439,M,297.8,309.7,1700,31.3,200
M15440,M,297.8,309.8,1798,25.5,error
L47761,L,297.8,309.7,1394,42.9,206
L47762,L,297.8,309.7,1341,49.2,208
H29997,H,297.7,309.6,1697,32.2,210
H29998,H,297.6,France,1419,48.2,215
L47765,L,297.6,309.5,2001,20.5,220
L47766,L,297.6,309.6,1501,49.8,222
H30001,H,297.6,309.5,1623,33.1,224
L47768,L,297.6,309.4,1628,33.4,229
L47769,L,297.6,309.4,1491,40.2,231
L47770,L,,309.4,1517,36.7,233
H30005,H,297.5,309.3,1525,41.7,235
H30006,H,297.5,309.5,1668,27.9,240
L47773,L,297.5,309.6,1312,50.7,0
H30008,H,297.6,309.6,1278,50.4,
M15455,M,297.6,309.6,1330,53.1,7
M15456,M,297.6,309.6,1530,37.3,10
H30011,H,297.6,309.6,1428,46.6,13
L47778,L,297.7,309.6,1480,47.9,18
H30013,H,297.7,309.7,1616,31.1,error
L47780,L,297.8,309.7,1547,37.3,25
L47781,L,297.9,309.7,2194,,27
L47782,L,297.9,309.8,,21.3,29
L47783,L,,France,1336,71.6,31
L47784,L,,309.9,1542,33.8,33
M15465,M,,309.8,1693,29.9,35
L47786,L,,309.8,,50.5,38
M15467,M,298.0,309.9,1565,33.9,40
L47788,L,298.0,309.9,1403,47.7,43
L47789,L,298.1,309.9,1629,32.5,45
L47790,L,298.1,310.0,1534,33.7,error
L47791,L,298.1,310.0,1553,40.9,49
L47792,L,298.1,309.9,1563,32.8,error
L47793,L,298.1,309.9,1634,30.0,53
M15474,M,298.0,France,1445,45.2,55
L47795,L,298.1,309.9,1642,30.4,58
H30030,H,298.1,309.9,1686,29.1,60
M15477,M,298.1,310.0,1393,43.1,
H30032,H,298.2,310.0,1433,44.2,68
L47799,L,298.3,310.0,,,73
M15480,M,298.3,310.1,1389,49.6,75
L47801,L,298.3,310.1,1408,45.3,
M15482,M,298.4,310.2,1725,32.0,80
L47803,L,298.4,France,1926,23.7,83
H30038,H,298.3,310.1,1509,37.6,
L47805,L,298.3,310.1,1545,36.3,90
L47806,L,298.4,310.1,1533,,92
L47807,L,298.4,310.1,1455,,94
M15488,M,298.4,310.1,1335,57.8,96
L47809,L,298.3,310.1,1523,45.9,99
L47810,L,298.3,310.0,1460,47.6,101
L47811,L,298.4,310.0,1554,37.3,103
H30046,H,298.3,310.0,1419,47.1,105
L47813,L,298.3,310.0,1442,43.9,error
L47814,L,298.3,309.9,1507,41.6,112
L47815,L,,310.0,1858,23.9,114
L47816,L,298.3,309.9,1463,43.9,116
L47817,L,298.2,309.7,,37.4,
L47818,L,298.0,309.6,1536,37.3,
L47819,L,298.0,309.6,1403,51.3,122
M15500,M,297.9,309.6,1515,38.8,124
L47821,L,297.9,309.5,1390,47.9,error
M15502,M,297.8,309.4,1226,58.7,129
M15503,M,297.8,France,1495,36.5,132
H30058,H,297.7,309.4,1608,30.2,135
L47825,L,297.7,309.4,1392,44.1,140
M15506,M,297.7,309.4,1461,43.7,142
L47827,L,297.7,309.3,1559,36.9,145
H30062,H,297.7,309.3,1400,48.9,147
M15509,M,297.7,309.2,1732,,152
L47830,L,297.6,309.2,1611,33.1,error
L47831,L,297.6,309.1,1503,38.9,157
L47832,L,297.7,309.2,1391,45.33067712087353,159
L47833,L,297.8,309.3,2015,20.1,161
L47834,L,297.8,309.2,1683,30.9,163
L47835,L,297.7,309.1,,38.8,165
M15516,M,,France,1732,28.1,167
L47837,L,297.7,309.2,1365,58.6,170
L47838,L,297.7,309.1,1562,36.8,172
L47839,L,297.6,309.1,1449,49.1,
M15520,M,297.7,309.2,1700,27.4,error
M15521,M,297.6,309.0,1427,45.6,179
M15522,M,297.6,308.9,1479,38.1,182
L47843,L,297.5,308.9,1469,44.0,185
L47844,L,297.5,308.9,1390,,187
L47845,L,297.5,France,1729,28.1,189
L47846,L,297.5,309.0,1470,43.5,191
L47847,L,297.5,308.9,1459,48.5,193
L47848,L,297.5,France,1738,24.0,195
H30083,H,297.5,308.9,1471,37.7,197
L47850,L,297.6,309.0,1822,25.4,
L47851,L,,308.9,,34.8,204
M15532,M,297.6,308.9,1433,43.2,206
L47853,L,297.6,308.9,,,209
L47854,L,297.8,309.0,1456,,
M15535,M,297.8,France,1424,45.5,error
H30090,H,297.9,309.2,1577,34.7,5
L47857,L,297.9,309.2,1478,39.7,error
M15538,M,297.8,309.2,1295,61.2,12
L47859,L,297.8,309.2,1372,47.3,
M15540,M,297.8,309.1,1432,42.6,17
M15541,M,297.7,France,1656,33.2,
H30096,H,297.8,France,1410,48.8,23
L47863,L,297.7,France,1874,24.4,28
L47864,L,297.7,France,,,30
M15545,M,297.7,309.0,1636,29.7,32
M15546,M,297.7,309.0,1504,40.4,35
M15547,M,297.7,309.0,1531,42.4,38
H30102,H,297.6,309.0,1735,26.4,error
H30103,H,297.6,309.0,1354,,46
H30104,H,297.6,France,1413,40.2,51
L47871,L,297.7,309.1,1563,39.3,56
L47872,L,297.7,309.1,1479,42.1,58
L47873,L,,309.1,1477,38.3,
L47874,L,297.6,France,1394,50.0,62
L47875,L,297.6,309.0,1487,45.4,64
M15556,M,297.6,309.0,1815,25.3,66
M15557,M,297.6,308.8,1453,,error
L47878,L,297.6,308.8,1539,40.2,
H30113,H,297.5,308.7,1416,39.2,74
M15560,M,297.6,France,1683,,79
L47881,L,297.7,France,1515,40.1,82
M15562,M,297.7,308.9,1531,48.3,84
H30117,H,297.7,308.9,1479,40.9,87
L47884,L,297.7,308.9,1516,33.03517514935754,92
L47885,L,297.7,309.0,,38.2,94
M15566,M,297.8,309.0,1434,43.3,96
L47887,L,297.7,308.9,1838,27.3,99
M15568,M,297.6,308.8,1416,45.9,101
M15569,M,297.6,308.8,,49.7,104
M15570,M,297.5,308.7,1697,28.1,107
L47891,L,297.5,308.7,1443,46.2,110
L47892,L,297.5,308.7,,37.6,error
L47893,L,297.4,308.6,1439,46.4,114
L47894,L,297.4,308.6,1609,36.2,116
L47895,L,297.4,308.6,1324,59.1,118
H30130,H,297.4,France,1420,45.8,error
L47897,L,,308.7,1545,36.9,125
L47898,L,297.5,308.8,,39.0,127
L47899,L,297.4,308.8,1447,,129
L47900,L,297.4,308.9,1809,23.8,error
L47901,L,297.5,308.9,1696,30.9,133
L47902,L,297.5,308.9,1427,44.7,135
M15583,M,297.4,308.9,1500,46.3,error
L47904,L,297.5,308.9,1390,44.6,140
L47905,L,297.4,308.8,1640,34.2,142
M15586,M,297.4,308.8,1628,37.4,144
H30141,H,297.3,308.6,1499,37.6,147
M15588,M,,308.7,1425,50.3,error
L47909,L,297.3,308.6,1586,37.7,155
M15590,M,297.3,308.6,1471,50.7,157
M15591,M,297.3,308.6,1431,53.0,160
L47912,L,297.2,308.6,1924,22.1,163
M15593,M,297.1,308.4,1421,42.0,165
H30148,H,,308.4,1305,54.6,error
L47915,L,296.9,308.4,1557,,173
L47916,L,296.9,308.3,1555,38.2,175
H30151,H,296.9,308.3,1474,39.2,177
L47918,L,296.8,308.3,1506,45.9,182
L47919,L,296.9,308.4,1390,41.8,184
M15600,M,296.9,308.4,1450,46.9,186
L47921,L,296.9,308.3,1513,38.8,189
L47922,L,296.8,308.2,1643,34.7,191
L47923,L,296.8,308.2,1361,,193
L47924,L,,308.1,1450,40.9,195
L47925,L,296.7,308.0,1451,50.7,197
L47926,L,296.8,308.1,1289,62.0,199
L47927,L,296.8,308.1,,48.3,201
H30162,H,296.7,308.1,1528,46.3,203
L47929,L,296.6,308.0,1978,22.3,208
L47930,L,296.7,308.0,1535,36.8,210
M15611,M,,308.1,1843,24.2,212
L47932,L,296.9,France,,48.7,215
L47933,L,296.8,308.0,1536,40.4,217
M15614,M,296.9,308.1,1483,44.3,219
H30169,H,296.8,308.1,-308.1,43.7,222
L47936,L,296.8,308.0,1584,40.4,227
L47937,L,296.9,308.1,1555,33.7,229
L47938,L,296.8,308.0,1497,41.7,
M15619,M,296.7,307.8,1537,,233
L47940,L,296.7,307.8,1505,39.4,236
L47941,L,296.7,307.8,1646,34.6,238
M15622,M,296.7,307.8,1286,60.5,error
L47943,L,296.7,307.8,1400,47.5,3
L47944,L,296.8,307.9,,56.5,error
L47945,L,296.9,308.0,1332,53.9,7
L47946,L,,308.0,1561,38.3,9
L47947,L,296.9,308.0,1546,31.1,11
L47948,L,296.9,308.0,1713,29.3,13
L47949,L,296.9,308.0,1343,44.5,15
L47950,L,296.8,308.0,1391,54.4,17
H30185,H,296.8,France,1311,58.6,19
H30186,H,296.8,308.0,1453,51.0,24
L47953,L,296.8,France,1510,,29
L47954,L,296.8,307.9,,,31
L47955,L,,307.8,1453,46.0,33
L47956,L,296.7,307.8,,39.2,35
L47957,L,296.7,307.8,1382,47.5,
L47958,L,296.7,308.0,1580,32.2,39
L47959,L,296.8,308.0,1666,29.8,41
M15640,M,296.9,308.0,1409,50.7,43
L47961,L,296.8,308.0,1675,29.7,46
L47962,L,296.8,307.9,1698,30.8,48
H30197,H,,307.9,1579,33.4,50
L47964,L,296.7,307.9,1743,27.9,55
M15645,M,296.9,308.0,1497,44.8,57
L47966,L,296.9,308.1,1741,28.8,60
L47967,L,296.9,308.1,1435,,62
M15648,M,296.9,308.1,1440,46.3,64
M15649,M,296.9,308.0,,33.3,67
L47970,L,,307.9,1420,45.4,70
L47971,L,296.8,307.9,1611,35.4,72
L47972,L,296.8,307.8,1373,42.9,74
M15653,M,,307.9,1683,,76
H30208,H,296.9,307.9,1547,32.6,79
L47975,L,296.9,France,1605,37.0,
M15656,M,296.9,307.9,2010,18.9,86
L47977,L,296.8,307.7,1565,40.1,89
M15658,M,296.9,307.8,1828,24.6,91
M15659,M,297.0,307.8,1579,34.1,94
M15660,M,297.0,307.9,1882,24.2,
L47981,L,296.9,France,1285,52.1,100
L47982,L,296.9,307.8,,35.0,
H30217,H,296.9,307.8,1549,37.8,
M15664,M,296.9,France,1544,37.6,109
M15665,M,297.0,307.9,1412,47.4,112
M15666,M,297.0,307.9,,53.0,115
L47987,L,297.0,307.7,1867,22.8,118
L47988,L,296.9,307.7,1424,43.3,120
L47989,L,,307.6,1452,45.7,122
L47990,L,,307.7,1550,39.7,124
L47991,L,296.8,307.6,1588,37.6,126
L47992,L,296.8,307.6,1338,44.4,128
L47993,L,296.8,307.6,1513,40.0,130
M15674,M,296.8,307.5,1470,45.9,132
M15675,M,296.8,307.5,1516,36.7,135
L47996,L,296.8,France,1434,48.3,138
L47997,L,296.8,307.6,1368,52.0,error
L47998,L,296.8,307.6,1304,,142
L47999,L,296.8,307.6,1398,46.7,144
L48000,L,296.7,307.6,1516,,146
L48001,L,296.7,307.6,1474,41.7,148
M15682,M,296.7,307.6,1547,34.7,150
M15683,M,296.6,307.5,1482,39.9,153
L48004,L,296.6,307.4,1436,42.8,156
L48005,L,296.6,307.3,1474,40.0,158
L48006,L,296.5,307.2,1481,38.2,614.4
L48007,L,,France,1501,42.1,162
L48008,L,296.5,307.3,1566,37.2,error
L48009,L,296.5,France,1579,34.5,166
L48010,L,296.6,307.4,,35.0,168
M15691,M,296.6,307.4,1544,,170
L48012,L,,307.4,1521,38.6,173
L48013,L,296.6,307.4,1616,28.0,175
H30248,H,296.6,307.4,1333,50.2,
M15695,M,296.7,307.4,,32.5,
