Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L50120,L,300.9,309.7,2355,14.4,201
M17801,M,300.7,309.6,1996,19.8,203
L50122,L,,309.5,1461,49.9,0
H32357,H,300.7,309.5,2007,19.7,2
L50124,L,300.7,309.6,1505,34.9,7
H32359,H,300.7,309.6,1925,20.5,
M17806,M,300.7,France,1622,30.5,14
L50127,L,300.7,309.5,1592,29.0,17
L50128,L,300.7,309.5,1850,24.5,
M17809,M,300.7,309.5,1470,48.7,21
M17810,M,300.7,309.5,1445,46.4,24
L50131,L,,309.5,1685,31.1,error
H32366,H,300.7,309.5,1667,30.5,29
L50133,L,300.7,309.5,1578,,34
H32368,H,300.6,309.4,1691,28.0,36
M17815,M,300.7,309.5,1439,43.8,41
M17816,M,300.8,309.6,1404,38.7,44
L50137,L,,France,1498,45.8,47
M17818,M,300.8,309.5,1481,44.5,49
M17819,M,300.7,309.4,1589,35.0,52
L50140,L,300.7,309.5,1467,44.3,55
L50141,L,,309.4,1654,32.8,57
L50142,L,300.7,309.5,1508,39.9,59
M17823,M,300.7,309.6,1439,43.0,61
L50144,L,300.7,309.5,1692,30.3,64
M17825,M,300.7,309.5,1838,24.9,66
L50146,L,,309.3,1601,40.2,69
L50147,L,,France,1369,51.6,71
M17828,M,300.6,309.4,1312,45.2,73
L50149,L,300.6,309.4,1468,44.1,76
M17830,M,,309.4,1452,,78
M17831,M,300.7,309.5,1393,43.9,81
M17832,M,300.6,309.4,1432,44.2,84
M17833,M,300.6,309.3,1510,46.0,87
M17834,M,300.6,France,,37.2,90
H32389,H,300.5,309.4,1360,46.2,93
M17836,M,300.5,309.3,,25.5,
L50157,L,300.4,France,1413,50.3,101
H32392,H,300.5,309.4,1642,36.2,103
L50159,L,300.5,309.5,1542,38.5,error
L50160,L,300.4,309.5,1447,39.3,error
H32395,H,300.4,309.4,1530,40.4,112
L50162,L,300.5,309.5,1795,27.7,117
L50163,L,300.6,309.6,,57.4,
L50164,L,300.6,309.7,1639,30.4,121
L50165,L,300.7,309.8,1596,31.5,123
L50166,L,300.6,309.8,1455,48.0,125
M17847,M,300.6,309.8,1659,28.9,error
M17848,M,300.6,309.8,1532,42.5,619.6
L50169,L,300.6,309.8,,,133
L50170,L,300.6,309.8,1688,28.6,135
M17851,M,300.5,309.7,1341,50.9,137
M17852,M,300.5,309.7,1685,29.4,error
M17853,M,300.5,309.8,1370,55.9,143
L50174,L,300.5,309.8,1461,52.5,146
L50175,L,300.5,309.8,1550,37.4,148
M17856,M,300.5,309.8,1508,37.8,150
L50177,L,300.5,309.8,1345,,153
L50178,L,300.5,309.7,1616,,error
L50179,L,300.5,309.7,1395,61.0,157
H32414,H,300.5,309.8,1324,72.8,159
L50181,L,300.5,309.8,,43.9,164
M17862,M,300.5,309.8,,38.9,error
M17863,M,300.6,309.9,1449,42.4,169
M17864,M,,309.9,1466,53.2,172
