Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M14860,M,298.1,308.6,1551,42.8,0
L47181,L,,308.7,1408,46.3,3
L47182,L,298.1,308.5,1498,49.4,
L47183,L,298.2,308.6,1433,39.5,7
L47184,L,298.2,308.7,1408,40.0,error
M14865,M,298.1,308.6,1425,,11
L47186,L,298.1,308.6,1558,42.4,14
L47187,L,298.1,308.6,1527,40.2,16
M14868,M,298.3,308.7,1667,28.6,
M14869,M,,309.0,1741,28.0,21
H29424,H,298.4,308.9,1782,23.9,error
H29425,H,298.6,309.1,1423,44.3,29
M14872,M,298.6,309.1,1339,51.1,34
M14873,M,298.6,309.2,,30.0,37
L47194,L,298.6,France,2035,19.6,40
L47195,L,298.6,309.2,1542,48.4,42
M14876,M,298.6,309.2,1311,46.6,44
M14877,M,298.7,309.2,1410,45.6,47
H29432,H,298.8,309.2,1306,54.5,50
M14879,M,298.9,309.3,1632,32.5,55
H29434,H,298.9,309.3,,42.7,58
L47201,L,298.8,309.3,1450,44.8,63
M14882,M,298.9,309.3,1581,30.7,65
L47203,L,299.0,309.4,1758,,68
M14884,M,299.0,309.4,1561,37.3,70
L47205,L,299.0,309.5,1861,23.3,73
L47206,L,299.1,309.5,1512,39.0,error
H29441,H,299.1,309.4,,,
L47208,L,299.1,309.4,1439,44.2,82
L47209,L,299.0,309.4,1693,30.1,84
M14890,M,299.1,France,1339,48.2,error
L47211,L,299.0,France,1798,25.5,89
L47212,L,,309.4,1419,48.3,91
L47213,L,298.9,309.3,1665,32.5,93
M14894,M,298.8,309.1,1559,34.7,95
M14895,M,298.8,309.2,1452,48.6,98
M14896,M,298.9,France,1581,36.7,
L47217,L,298.8,309.1,1439,39.2,
H29452,H,298.9,309.2,1379,50.7,106
L47219,L,298.8,309.1,1350,52.5,111
L47220,L,298.8,309.1,1362,45.4,113
L47221,L,298.8,309.1,1368,50.8,115
M14902,M,298.8,309.1,1368,49.1,117
H29457,H,298.8,309.2,1372,48.5,120
M14904,M,298.8,309.1,1472,47.5,125
L47225,L,298.8,309.1,1489,,128
M14906,M,,309.0,1843,25.8,error
L47227,L,298.8,309.1,1418,46.3,133
H29462,H,298.8,309.2,1425,53.9,135
M14909,M,298.9,France,1412,44.1,140
L47230,L,298.9,309.1,2861,4.6,143
L47231,L,298.9,309.1,1383,,145
H29466,H,298.8,309.0,1497,43.8,147
L47233,L,298.7,309.0,1565,35.1,152
L47234,L,298.7,309.0,1691,30.1,154
L47235,L,,309.1,1512,,error
L47236,L,298.8,309.1,1477,42.4,158
L47237,L,298.8,309.1,1513,40.3,160
M14918,M,298.8,309.0,1661,29.5,162
L47239,L,298.8,309.1,1378,,165
L47240,L,298.8,309.1,1393,52.6,167
M14921,M,298.8,309.0,1592,38.2,169
L47242,L,,France,1829,22.9,172
M14923,M,298.9,309.0,1812,25.9,174
L47244,L,299.0,309.1,1523,38.6,177
L47245,L,299.0,309.1,1394,45.1,179
M14926,M,298.9,308.9,1679,28.7,181
H29481,H,298.8,308.9,1466,44.1,184
L47248,L,298.8,308.9,1527,,189
L47249,L,298.9,309.0,1410,65.7,
M14930,M,298.9,309.0,1924,22.6,193
L47251,L,298.9,309.1,1452,45.5,196
L47252,L,298.9,309.1,1369,,198
L47253,L,299.0,309.1,1592,35.0,200
L47254,L,298.9,309.0,1601,32.3,202
L47255,L,298.8,308.9,1379,46.7,error
L47256,L,298.8,308.9,1461,47.9,206
L47257,L,298.8,308.9,1455,41.3,208
L47258,L,298.8,308.9,1398,51.5,0
L47259,L,298.8,308.9,1402,37.9,2
H29494,H,298.8,308.8,1445,49.9,4
L47261,L,,308.9,,47.5,error
L47262,L,,308.9,1453,40.8,11
L47263,L,299.0,309.0,1469,40.1,13
L47264,L,298.9,308.9,1422,47.6,15
M14945,M,299.0,France,1804,26.8,17
H29500,H,299.0,309.0,,43.9,20
L47267,L,299.0,309.0,1544,31.8,25
M14948,M,299.0,309.0,1419,45.2,618.0
M14949,M,298.9,308.9,,39.5,30
L47270,L,298.9,France,,25.8,33
L47271,L,,France,1830,24.9,35
M14952,M,298.9,308.9,1727,27.1,37
L47273,L,299.1,309.0,1450,43.0,40
L47274,L,299.0,308.9,1622,31.9,42
M14955,M,299.0,309.0,1351,52.2,44
M14956,M,299.0,309.0,1575,,47
M14957,M,,308.9,1750,29.9,50
L47278,L,298.9,France,1529,32.7,53
L47279,L,298.8,308.8,1523,44.4,55
L47280,L,298.8,308.9,1852,25.0,57
L47281,L,298.8,308.8,1991,20.7,59
L47282,L,298.8,308.8,1555,40.6,61
M14963,M,,308.8,1441,40.5,
L47284,L,298.8,308.7,1450,43.4,66
L47285,L,298.8,308.7,1591,31.1,68
L47286,L,298.8,308.7,1445,48.5,70
M14967,M,298.8,308.8,1497,46.8,72
H29522,H,298.9,308.8,,32.7,75
L47289,L,298.9,308.7,1572,34.1,80
L47290,L,298.8,308.6,1872,22.5,82
H29525,H,298.7,308.6,1499,43.5,error
M14972,M,298.8,308.7,1498,39.5,
M14973,M,298.8,308.6,1486,41.9,
L47294,L,298.8,308.6,1680,29.4,95
L47295,L,298.8,308.6,1431,45.7,97
L47296,L,298.9,308.7,1564,34.1,99
L47297,L,298.8,308.6,1599,33.0,error
M14978,M,298.8,308.6,1707,28.1,103
L47299,L,298.7,308.5,1467,40.7,106
L47300,L,298.9,308.7,1433,44.7,108
L47301,L,298.9,308.7,1558,41.2,110
L47302,L,299.0,308.8,1310,50.7,112
L47303,L,298.9,308.7,1546,43.4,error
L47304,L,298.9,France,1727,29.4,116
L47305,L,,308.6,1560,32.2,118
L47306,L,299.0,France,1329,60.5,120
L47307,L,298.9,308.6,,46.5,122
L47308,L,,308.6,1587,38.6,124
L47309,L,,308.5,1559,34.3,
L47310,L,298.8,308.4,1473,41.1,128
L47311,L,298.8,308.4,1737,27.7,130
M14992,M,298.7,308.4,1441,43.2,
M14993,M,298.7,308.4,1430,49.6,135
L47314,L,298.8,308.4,1369,53.0,138
M14995,M,298.8,308.5,1711,28.5,140
H29550,H,298.7,308.5,1420,45.7,617.0
L47317,L,298.7,308.6,1297,55.3,148
H29552,H,298.8,308.6,1449,49.4,150
L47319,L,298.8,308.6,1268,55.8,155
L47320,L,298.8,308.6,1511,36.1,157
L47321,L,298.7,France,,35.2,159
M15002,M,298.6,308.4,1778,,161
H29557,H,298.6,308.4,1407,,164
M15004,M,298.6,308.4,1391,42.4,169
L47325,L,298.5,France,1513,33.6,172
H29560,H,298.5,308.4,1612,36.1,174
L47327,L,298.4,308.4,1515,40.1,179
M15008,M,298.3,308.3,-308.3,48.0,181
L47329,L,298.4,308.3,1473,39.9,184
L47330,L,298.4,308.3,1422,42.7,186
M15011,M,298.4,308.2,1463,37.6,188
M15012,M,298.4,308.2,1584,41.0,191
L47333,L,298.4,308.2,1850,27.0,194
L47334,L,298.4,308.2,1528,36.2,196
H29569,H,298.4,308.2,1987,29.65426161755306,198
M15016,M,298.4,France,1495,46.0,203
H29571,H,298.4,308.2,,43.5,206
M15018,M,298.4,308.2,1499,40.0,211
L47339,L,298.4,308.2,1471,,214
L47340,L,298.4,308.2,,60.7,216
L47341,L,298.3,France,1412,52.3,218
L47342,L,298.3,308.1,1586,35.5,0
M15023,M,298.4,308.2,1468,43.8,2
M15024,M,298.5,308.3,1440,43.6,5
L47345,L,298.5,308.4,1733,26.0,8
H29580,H,,308.2,1612,32.6,10
H29581,H,298.4,308.3,,42.9,15
L47348,L,298.4,308.3,1433,62.3,20
L47349,L,298.4,308.3,1318,59.1,22
M15030,M,298.4,308.2,1610,35.0,24
L47351,L,298.2,308.1,1462,,27
M15032,M,298.1,308.0,1924,20.8,29
M15033,M,298.2,308.0,1591,33.7,32
L47354,L,298.2,France,,58.3,35
L47355,L,298.2,308.1,1382,43.5,37
L47356,L,298.2,308.1,1618,34.7,39
L47357,L,298.2,308.2,1988,25.2342747438806,error
L47358,L,298.2,308.2,1436,,43
L47359,L,298.2,308.3,1304,49.8,45
L47360,L,298.2,308.3,1475,49.9,47
H29595,H,298.2,308.3,1824,24.2,49
M15042,M,298.1,308.2,1342,48.1,54
L47363,L,298.1,308.2,1485,40.7,57
L47364,L,298.2,308.2,1667,30.6,59
L47365,L,,308.2,1446,38.2,61
L47366,L,298.1,308.3,1301,,63
L47367,L,298.2,308.4,1379,43.1,65
L47368,L,298.3,308.5,1606,33.6,67
M15049,M,298.3,308.4,1539,43.4,69
L47370,L,298.2,308.4,1477,49.9,72
L47371,L,298.2,France,1666,34.6,74
H29606,H,,308.4,1398,51.8,
H29607,H,298.2,308.4,1678,34.6,error
M15054,M,298.2,308.5,2678,10.7,86
L47375,L,298.3,308.5,1453,42.9,89
H29610,H,298.3,France,1432,49.5,91
M15057,M,298.4,France,1527,40.9,
L47378,L,298.4,308.7,1588,,99
L47379,L,298.4,308.6,1433,47.1,
L47380,L,298.4,308.6,1609,35.0,103
L47381,L,298.3,308.5,1575,41.2,error
M15062,M,298.4,308.5,1636,35.7,107
L47383,L,298.4,308.5,1490,37.9,110
L47384,L,298.4,308.5,1741,32.8,112
M15065,M,,308.6,1344,53.0,error
L47386,L,,308.7,1609,35.3,117
M15067,M,298.4,308.7,1421,60.7,error
L47388,L,298.4,308.6,,36.7,error
L47389,L,298.4,308.6,1477,44.0,124
L47390,L,298.4,308.7,1523,,126
L47391,L,298.5,308.7,1575,33.9,128
H29626,H,298.4,308.7,1344,52.9,130
L47393,L,298.4,308.7,1386,44.9,135
M15074,M,298.3,308.6,1589,37.1,137
L47395,L,298.3,308.6,,40.3,error
L47396,L,298.3,France,,38.3,142
L47397,L,298.3,308.5,1664,31.6,144
L47398,L,298.3,308.6,1447,38.1,146
M15079,M,298.3,308.5,1434,46.2,error
L47400,L,298.3,308.5,,52.7,151
H29635,H,298.4,France,1827,24.3,
L47402,L,298.4,308.6,1304,45.0,158
L47403,L,,308.6,1569,34.4,160
L47404,L,298.3,308.6,1584,29.3,162
L47405,L,,France,1362,53.8,164
L47406,L,298.3,308.4,1329,49.2,166
L47407,L,298.3,308.5,1539,36.1,error
M15088,M,298.3,308.5,,37.1,170
L47409,L,298.3,308.5,1538,32.2,173
L47410,L,298.3,308.6,1570,34.8,175
L47411,L,298.3,308.4,1408,43.1,177
L47412,L,298.2,308.4,1424,47.6,179
L47413,L,298.2,France,1512,34.9,181
L47414,L,298.2,308.4,,42.9,183
M15095,M,298.1,308.3,1680,,185
L47416,L,298.1,308.3,1495,,188
M15097,M,,308.1,1552,36.6,190
L47418,L,297.9,France,1393,,193
L47419,L,298.0,308.2,1611,30.6,195
M15100,M,298.0,308.1,,51.6,197
L47421,L,298.0,308.1,-308.1,24.3,200
L47422,L,298.0,308.2,1348,58.8,202
L47423,L,298.0,308.2,1442,44.1,204
M15104,M,298.0,308.2,,49.1,206
M15105,M,,France,1627,31.4,209
L47426,L,297.9,France,1585,,212
L47427,L,298.0,308.2,1469,45.5,214
L47428,L,298.0,France,1362,56.8,216
L47429,L,298.0,308.3,,56.2,218
L47430,L,298.0,308.3,,32.7,0
M15111,M,298.0,308.2,1466,42.6,
L47432,L,298.0,308.2,,35.8,5
L47433,L,298.0,308.2,1357,48.2,7
L47434,L,298.0,308.2,1514,37.9,error
L47435,L,298.0,308.2,1489,40.4,11
L47436,L,298.1,308.3,1331,63.0,13
L47437,L,298.0,308.0,1615,29.5,15
L47438,L,298.1,308.2,1482,37.9,17
M15119,M,298.1,308.2,,63.9,19
M15120,M,,308.3,,49.1,22
L47441,L,,308.2,1654,32.1,25
M15122,M,298.1,308.2,1736,26.8,27
M15123,M,298.0,308.1,1587,32.3,
L47444,L,298.1,France,1390,47.5,33
L47445,L,298.0,308.1,1454,37.1,35
H29680,H,298.0,308.1,1440,43.7,37
L47447,L,,308.0,1954,,42
H29682,H,297.9,308.0,1800,24.8,44
L47449,L,298.0,308.0,1524,37.0,49
H29684,H,298.0,308.0,1520,39.6,51
M15131,M,,308.1,1452,40.8,56
L47452,L,298.1,308.1,1484,40.4,
L47453,L,298.1,308.0,1426,46.0,61
L47454,L,298.1,308.0,1652,28.5,63
L47455,L,298.0,France,1401,54.7,65
M15136,M,298.0,307.9,1750,26.6,67
H29691,H,298.0,308.0,1479,50.7,70
M15138,M,298.0,308.0,1620,,75
L47459,L,298.0,308.1,1819,23.4,78
M15140,M,298.1,308.1,1456,43.7,80
L47461,L,298.1,308.0,1626,36.5,83
M15142,M,298.1,308.1,1390,49.8,85
L47463,L,298.2,308.2,1469,43.0,88
L47464,L,298.2,308.3,2051,19.2,90
L47465,L,,308.3,1568,36.0,92
L47466,L,298.2,308.3,1589,33.2,94
L47467,L,298.2,308.3,1805,31.6,96
H29702,H,298.2,308.4,1385,42.2,
L47469,L,,308.4,1436,46.7,103
L47470,L,,308.4,,45.6,error
L47471,L,298.0,308.3,,42.6,error
L47472,L,298.1,308.4,1335,40.2,109
H29707,H,298.1,308.5,1392,44.8,111
M15154,M,,308.5,1372,51.1,116
M15155,M,298.1,308.6,1716,30.7,119
L47476,L,,308.5,1395,46.2,122
L47477,L,298.0,308.5,,25.3,124
H29712,H,,308.5,,18.7,126
M15159,M,297.8,France,,43.27796697836441,131
L47480,L,297.8,308.4,1622,38.3,134
L47481,L,297.7,308.4,1740,,136
H29716,H,297.8,308.4,1512,,138
M15163,M,,308.4,1479,43.5,error
L47484,L,,308.4,1737,,146
L47485,L,297.8,308.4,,19.2,
L47486,L,297.8,308.4,-308.4,47.1,150
M15167,M,297.8,308.4,1579,36.6,152
L47488,L,297.9,308.5,1305,47.2,error
M15169,M,297.9,308.5,,40.8,157
H29724,H,298.0,308.6,1526,41.8,160
M15171,M,298.0,308.6,1453,44.1,
L47492,L,297.9,308.6,1468,36.0,168
L47493,L,298.0,308.6,1313,50.8,170
M15174,M,297.9,308.5,1300,53.0,172
L47495,L,297.9,308.4,1646,40.6,175
L47496,L,297.8,308.4,1714,33.2,177
L47497,L,297.8,308.4,-308.4,28.4,179
L47498,L,,308.4,1512,,181
L47499,L,297.8,308.4,,32.1,183
H29734,H,297.8,308.4,,38.2,185
L47501,L,297.8,308.4,1518,32.5,190
L47502,L,297.8,308.5,1448,40.0,
L47503,L,,308.5,1561,46.3,error
M15184,M,297.8,308.5,1488,41.9,196
L47505,L,297.8,308.5,1699,27.8,199
L47506,L,297.7,308.5,1501,,201
L47507,L,,308.5,1373,56.7,203
H29742,H,297.6,308.4,1703,,205
H29743,H,297.7,France,1720,29.9,210
M15190,M,297.6,308.4,1398,41.9,215
M15191,M,297.6,308.4,1391,51.9,218
M15192,M,297.6,308.3,1538,40.2,0
L47513,L,297.5,308.2,1647,31.3,3
M15194,M,,308.1,-308.1,44.8,5
L47515,L,297.4,308.1,1749,,8
M15196,M,297.6,308.2,,,10
L47517,L,297.6,308.3,1742,27.7,error
L47518,L,297.5,308.2,1563,38.2,15
M15199,M,297.5,308.2,1713,32.2,error
L47520,L,297.4,308.1,1474,39.4,20
M15201,M,297.4,308.2,1530,32.6,22
L47522,L,,308.2,,,25
L47523,L,297.5,308.3,1388,48.6,27
M15204,M,297.5,308.2,,13.8,29
L47525,L,297.5,308.3,1585,32.9,error
M15206,M,297.5,308.3,1459,45.2,34
L47527,L,297.5,France,1544,40.8,37
L47528,L,297.6,308.3,,31.7,39
L47529,L,297.6,France,1595,34.3,41
H29764,H,297.6,308.3,1400,44.3,
M15211,M,297.6,308.4,1611,,48
M15212,M,297.6,308.4,1507,46.0,51
H29767,H,297.5,308.3,1674,30.0,error
L47534,L,297.6,308.3,1658,34.3,59
L47535,L,297.6,308.3,1623,36.9,61
M15216,M,297.6,308.4,1398,48.9,63
L47537,L,297.6,308.4,1517,34.2,66
M15218,M,297.6,308.3,1467,36.7,error
M15219,M,297.6,308.3,1567,34.6,71
M15220,M,297.5,308.3,1521,38.2,74
L47541,L,297.5,308.3,1596,36.8,77
H29776,H,297.6,308.3,1640,30.9,79
L47543,L,297.6,308.3,1438,47.8,84
L47544,L,297.6,308.4,1407,55.2,error
L47545,L,297.6,308.4,,57.5,88
M15226,M,297.6,308.5,1552,40.9,90
M15227,M,,308.4,1569,38.3,93
L47548,L,297.5,France,1489,,96
H29783,H,297.5,308.4,1587,36.1,98
M15230,M,297.5,308.3,1622,37.2,103
L47551,L,297.5,France,1604,38.1,FranceFrance
M15232,M,297.4,308.3,1405,51.7,108
L47553,L,297.4,308.3,1412,42.0,111
L47554,L,297.4,308.3,1431,43.0,113
L47555,L,297.4,308.2,1533,37.4,115
M15236,M,297.4,308.2,1401,51.9,117
M15237,M,297.4,308.2,1424,53.9,120
L47558,L,297.3,308.2,1754,29.4,error
L47559,L,297.3,308.2,1754,26.8,125
L47560,L,297.5,308.3,2564,12.8,127
L47561,L,297.5,308.5,1546,40.4,129
L47562,L,297.5,308.5,1335,48.0,131
M15243,M,297.5,France,1842,27.0,133
L47564,L,,308.5,1712,26.8,136
M15245,M,297.6,308.6,,45.4,138
L47566,L,297.6,308.7,1319,50.9,141
L47567,L,297.7,308.7,1249,,143
L47568,L,297.6,308.7,,48.2,145
M15249,M,297.6,308.7,1408,54.8,
L47570,L,,308.7,1460,46.7,150
